# Automatically generated from sites-database.csv. DO NOT EDIT.
site,shortname,campaign,lat,lon,temperature,10V,10H,19V,19H,37V,37H,89V,89H,10V_summer,10H_summer,19V_summer,19H_summer,37V_summer,37H_summer,89V_summer,89H_summer,skt,skt_summer
sp1_domec-bipol,sp1_domec,bipol,-75.0998,123.3333,-54.9967,201.06057739257812,161.40298461914062,195.07090759277344,164.05177307128906,182.306396484375,162.3899688720703,176.78585815429688,161.45741271972656,203.1580810546875,165.2645263671875,201.25160217285156,173.18551635742188,201.20001220703125,182.69677734375,203.34031677246094,189.54998779296875,-51.87967529296873,-34.48679199218748
sp2_domec-bipol,sp2_domec,bipol,-75.0998,123.3333,-54.9967,201.06057739257812,161.40298461914062,195.07090759277344,164.05177307128906,182.306396484375,162.3899688720703,176.78585815429688,161.45741271972656,203.1580810546875,165.2645263671875,201.25160217285156,173.18551635742188,201.20001220703125,182.69677734375,203.34031677246094,189.54998779296875,-51.87967529296873,-34.48679199218748
s2-vanish,s2,vanish,-76.347,116.9677,-55.4,192.83203125,154.9529571533203,184.9855194091797,154.57447814941406,173.52053833007812,154.02952575683594,172.1403350830078,157.56935119628906,195.4661407470703,160.00160217285156,193.23226928710938,165.46128845214844,194.73388671875,176.71290588378906,195.9596710205078,183.7016143798828,-52.292623901367165,-34.83856811523435
s2b-vanish,s2b,vanish,-76.62899999999999,117.92200000000001,-55.4,192.856201171875,154.6237335205078,184.72232055664062,153.82159423828125,173.74928283691406,152.77426147460938,172.39356994628906,157.0332489013672,195.58706665039062,159.27420043945312,192.83547973632812,163.85804748535156,194.77903747558594,174.2354736328125,195.40806579589844,181.52098083496094,-52.31809082031248,-34.76561584472654
s4-vanish,s4,vanish,-78.4906,106.6458,-56.89,191.55078125,149.6068572998047,181.40789794921875,142.94248962402344,173.26499938964844,145.16958618164062,174.6680450439453,155.88177490234375,193.93869018554688,155.5580596923828,188.43548583984375,154.04678344726562,190.7145233154297,165.4080810546875,196.57907104492188,176.93063354492188,-52.37926330566404,-34.454183959960915
ago5-eaiist,ago5,eaiist,-77.23805556,123.47833333,-54.39,192.4278564453125,154.84658813476562,182.01449584960938,148.85231018066406,174.05003356933594,149.36512756347656,177.12002563476562,158.4078369140625,195.79678344726562,159.02256774902344,190.89195251464844,158.21128845214844,194.9290313720703,168.12098693847656,202.3903350830078,180.6306610107422,-51.22228088378904,-33.05376281738279
paleo-eaiist,paleo,eaiist,-79.85138889,126.20333333,-50.5,182.83604431152344,149.8549041748047,171.94017028808594,137.34873962402344,175.25161743164062,145.6710968017578,182.20941162109375,160.04945373535156,187.55482482910156,154.2919464111328,183.80162048339844,147.17095947265625,196.2354736328125,162.35484313964844,202.13067626953125,178.7435760498047,-47.08515014648435,-30.804968261718727
windglaze-eaiist,windglaze,eaiist,-81.05416667,122.34666667,-48.19,182.8403778076172,152.5461883544922,165.59329223632812,135.91732788085938,167.6410675048828,143.3376007080078,177.58106994628906,158.9310760498047,188.06451416015625,159.35484313964844,178.70806884765625,149.18711853027344,188.77743530273438,163.3822479248047,198.62095642089844,177.74514770507812,-46.33771362304685,-30.66527404785154
megaacu-eaiist,megaaccu,eaiist,-80.57791667,121.80416667,-49.38,184.8992919921875,152.38372802734375,169.95660400390625,137.88656616210938,172.7653350830078,146.8052215576172,181.6036834716797,161.91839599609375,189.77420043945312,158.5145263671875,182.18386840820312,149.89840698242188,193.70806884765625,165.6919403076172,202.4967803955078,180.33871459960938,-46.57147827148435,-30.845434570312477
station_erosion-eaiist,station_erosion,eaiist,-80.56397,121.68241,-49.09,184.8992919921875,152.38372802734375,169.95660400390625,137.88656616210938,172.7653350830078,146.8052215576172,181.6036834716797,161.91839599609375,189.77420043945312,158.5145263671875,182.18386840820312,149.89840698242188,193.70806884765625,165.6919403076172,202.4967803955078,180.33871459960938,-46.57147827148435,-30.845434570312477
