z density ssa
-0.11 360.0380000000002 21.389566666666667
-0.16 312.933 14.678344444444443
-0.27 282.04100000000005 12.041002631578948
-0.39 341.6329999999999 9.671441999999999
-0.5 341.98599999999993 10.267895789473682
-0.6 330.485 9.911743529411766
-0.71 329.73300000000006 9.580888333333336
-0.81 347.1729999999999 9.355625555555555
-0.87 352.18699999999995 9.065655000000001
-1.07 281.2489999999999 8.445732631578949
-1.18 346.223 6.7500757894736845
-1.32 325.018 6.042804999999999
-1.43 339.415 7.311828421052631
-1.54 336.52099999999984 7.312834761904761
-1.65 416.07300000000015 7.581819473684211
-1.78 367.57899999999995 6.56478909090909
-1.87 302.72000000000014 3.7285218749999998
-2.02 348.4189999999999 9.169625294117647
-2.13 409.14999999999986 7.710000000000001
-2.23 296.2579999999999 5.658397777777778
-2.35 329.7150000000001 6.000675652173915
-2.46 361.6639999999999 5.8934370000000005
-2.56 353.21699999999987 6.316266842105264
-2.67 362.964 7.286985789473684
-2.77 341.1890000000001 6.930486111111112
-2.85 313.20699999999994 6.633695714285714
-3.03 372.19800000000004 7.080485625000001
-3.13 399.69899999999984 7.65621
-3.23 385.0190000000001 6.869299411764706
-3.34 357.0690000000002 8.141043
-3.45 245.1999999999999 9.860521578947369
-3.54 288.87800000000004 8.103110588235294
-3.65 343.48599999999993 7.909245789473685
-3.76 297.08200000000005 7.868477894736841
-3.83 325.42099999999994 6.894313333333333
-3.99 369.314 7.0804219999999995
-4.1 203.38400000000001 6.869122105263157
-4.18 349.9589999999999 5.818712500000001
-4.29 400.77999999999986 6.3168838888888885
-4.4 364.219 5.913277
-4.51 386.44300000000015 6.202726
-4.61 445.7969999999998 7.0998576470588235
-4.66 310.999 6.167230000000001
-4.77 364.439 6.61134
-4.88 400.7150000000001 6.766644444444445
-4.98 400.23800000000017 5.804861111111111
-5.08 365.56699999999995 6.049284444444446
-5.19 398.9589999999999 6.085042631578948
-5.3 429.3429999999999 5.418992105263159
-5.39 436.79900000000004 5.783548124999999
-5.5 320.8649999999999 6.044289999999999
-5.6 352.281 5.573665294117647
-5.77 347.36300000000017 6.3492875
-5.88 221.777 6.546812631578949
-5.93 291.026 7.509295555555555
-6.03 515.816 8.83460611111111
-6.13 468.9530000000002 8.100553888888887
-6.23 426.2880000000002 7.2847388888888895
-6.34 443.3729999999999 7.488219473684211
-6.44 406.9830000000001 6.02264947368421
-6.58 361.478 6.460669166666666
-6.62 344.135 9.15577125
-6.77 385.68300000000005 6.400099375
-6.87 389.0749999999999 6.256645000000001
-6.96 384.77099999999984 6.360838235294118
-7.06 425.91200000000003 7.447616470588235
-7.16 429.49600000000004 6.552518888888889
-7.27 404.3339999999999 6.443249
-7.37 429.759 6.572411176470588
-7.46 406.60699999999997 5.706499375
-7.57 407.35699999999997 5.735899999999999
-7.64 367.4940000000001 5.473516363636365
