z density ssa
-0.139318 316.381 19.3611
-0.301021 308.559 7.54317
-0.508113 339.325 10.2368
-0.684013 339.00199999999995 10.5947
-0.92 325.455 9.67174
-1.0235 399.23699999999997 11.3407
-1.13104 346.059 11.8236
-1.213 367.795 8.45014
-1.29406 317.063 8.454239999999999
-1.4078899999999999 372.284 10.3688
-1.56 312.311 8.5144
-1.99625 359.991 7.779710000000001
-2.07761 303.743 7.193630000000001
-2.12351 359.65 6.84692
-2.22724 317.95 7.1654
-2.30186 338.82 7.14947
-2.5531200000000003 321.834 8.48702
-2.64017 312.176 6.09344
-2.70685 332.775 6.64865
-2.83033 356.94800000000004 7.0564800000000005
-2.94766 398.413 6.27916
-3.09593 311.686 6.08595
-3.21 347.908 6.7879
-3.35848 375.14099999999996 7.099819999999999
-3.5006199999999996 360.811 6.25913
-3.5879199999999996 356.18199999999996 6.78816
-3.7 346.069 6.3727
-3.77494 391.903 5.93593
-3.89108 320.927 5.99765
-4.03862 321.002 5.86523
-4.14 363.10400000000004 7.64969
-4.3044 370.694 6.06747
-4.4210199999999995 341.69599999999997 6.4812199999999995
-4.52414 361.20300000000003 6.3649
-4.63388 405.805 7.389310000000001
-4.74 395.67199999999997 6.6183
-4.7965 356.715 6.86032
-4.90573 381.265 7.90908
-5.01566 384.16900000000004 7.308889999999999
-5.21082 366.835 6.12425
-5.32 377.949 6.97819
-5.44099 384.355 6.46973
-5.58284 367.86199999999997 6.530480000000001
-5.68928 385.316 6.667510000000001
-5.75859 435.06 6.44761
-5.84243 343.12800000000004 6.17969
-5.95 387.974 7.093139999999999
-6.0432 386.241 7.48385
-6.15069 403.259 8.28438
-6.25812 380.44300000000004 6.79294
-6.33966 374.709 6.49867
-6.44637 402.691 6.99488
-6.6 371.337 6.2373400000000006
-6.72006 378.91 7.371230000000001
-6.82803 401.209 6.7316
-6.9730300000000005 404.397 6.51245
-7.08 364.236 6.813289999999999
-7.157189999999999 343.542 7.163130000000001
-7.26745 375.54400000000004 6.52126
-7.377999999999999 405.374 6.7610399999999995
-7.50985 376.99199999999996 7.680210000000001
-7.62 366.559 6.57808
-7.77548 348.075 6.8553
-7.88707 397.288 7.22665
-7.963760000000001 393.249 6.692639999999999
-8.06172 378.676 6.702789999999999
-8.126560000000001 368.048 6.291119999999999
-8.22397 385.42800000000005 6.650869999999999
-8.35581 400.334 7.294160000000001
-8.45397 407.774 6.37244
-8.55241 428.835 7.01836
-8.65 414.02 6.985939999999999
-8.75644 357.851 7.294160000000001
-8.86278 421.92199999999997 6.67023
-8.96895 413.723 7.07004
-9.08404 432.735 6.2977
-9.19 429.88 7.53078
-9.3174 431.465 8.23743
-9.421710000000001 434.385 5.9992
-9.48168 400.526 6.96995
-9.58538 404.86699999999996 6.6302
-9.69 397.704 6.05778
-9.813989999999999 414.16 6.222230000000001
-9.91995 405.455 6.62585
-10.0231 419.869 7.479
-10.13 431.62199999999996 7.501339999999999
-10.1978 409.083 6.653519999999999
-10.3043 411.403 6.56425
-10.41 428.722 6.98665
-10.4986 446.801 6.69458
-10.6029 423.467 6.01684
-10.7069 451.032 5.97914
-10.7941 425.45099999999996 5.59013
-10.8977 428.468 7.4404
-11.0018 447.14 5.7047099999999995
-11.0989 408.495 6.51652
-11.2031 434.583 6.589519999999999
-11.3336 457.36199999999997 6.95873
-11.4375 463.86300000000006 6.72328
-11.5411 479.151 7.95045
-11.6449 439.597 6.12255
-11.8766 434.86300000000006 5.89917
-11.9835 465.38199999999995 7.1612
-12.0607 435.967 7.30156
-12.1673 432.86699999999996 7.36728
-12.2747 444.875 6.4153199999999995
-12.3916 458.602 7.93272
-12.4973 452.343 7.690580000000001
-12.6023 489.60900000000004 6.99988
-12.7084 485.064 8.1446
-12.8436 438.523 7.70591
-12.95 454.173 7.4299
-13.0471 461.036 6.54352
-13.1529 447.07599999999996 7.3460600000000005
-13.2971 461.129 5.82621
-13.4057 449.913 7.527710000000001
-13.6012 382.277 6.53397
-13.7042 472.559 7.16016
-13.862 436.038 5.48391
-13.9649 445.751 7.9424
-14.0489 451.38300000000004 7.43146
-14.1585 457.51 7.51001
-14.2994 468.832 7.965269999999999
-14.41 444.63199999999995 6.773680000000001
-14.59 451.17400000000004 5.58491
-14.7157 470.721 6.67232
-14.821 455.35 6.38345
-14.9215 446.705 6.66914
-15.0267 465.399 6.29819
-15.1324 477.245 6.0888
-15.2379 469.505 6.47074
-15.4 490.04400000000004 6.043769999999999
-15.5022 462.754 6.53765
-15.6098 459.241 6.8206
-15.8074 459.333 6.74919
-15.9158 493.111 6.69723
-16.0943 448.915 6.86494
-16.2037 474.774 6.18801
-16.2911 472.37199999999996 6.80448
-16.3572 461.86 7.15031
-16.4667 484.62199999999996 7.35073
-16.5768 487.18800000000005 7.07262
-16.7014 502.73199999999997 8.004589999999999
-16.8081 470.02 7.0148
-16.9132 485.079 5.68634
-17.1413 489.89300000000003 6.01842
-17.2469 501.039 5.864240000000001
-17.4249 483.375 6.28985
-17.5342 493.209 6.73879
-17.6419 484.91 6.1165400000000005
-17.7877 494.361 6.39984
-17.8957 490.49199999999996 6.4618
