zone,CorresSP,site,Date,10H MES,10V MES,19H MES,19V MES,37H MES,37V MES,89H MES,89V MES
sub-arctique,BJ012013_SP1,Baie James,2013/01/07,241.99,259.22,240.05,254.35,192.88,212.17,,
sub-arctique,BJ012013_SP2,Baie James,2013/01/08,240.20,261.20,210.59,255.76,209.62,235.56,,
sub-arctique,BJ012013_SP3,Baie James,2013/01/08,231.73,253.43,233.03,251.27,189.96,213.10,,
sub-arctique,BJ012013_SP4,Baie James,2013/01/08,243.78,255.62,223.18,248.58,202.65,223.75,,
sub-arctique,BJ012013_TranSP1,Baie James,2013/01/09,228.86,256.70,212.39,255.01,194.49,222.81,,
sub-arctique,BJ012013_TranSP2,Baie James,2013/01/09,221.69,255.14,212.42,253.84,185.00,218.00,,
sub-arctique,BJ012013_TranSP3,Baie James,2013/01/09,237.29,259.38,215.34,254.91,184.70,216.55,,
sub-arctique,BJ012013_TranSP4,Baie James,2013/01/09,238.43,256.49,214.75,252.43,196.67,220.97,,
sub-arctique,BJ012013_TranSP5,Baie James,2013/01/09,226.83,258.60,206.46,255.72,192.72,221.18,,
sub-arctique,BJ012013_TranSP6,Baie James,2013/01/09,221.79,256.22,219.71,253.80,189.26,218.66,,
sub-arctique,BJ012013_TranSP7,Baie James,2013/01/09,227.42,256.21,205.27,253.57,191.46,219.58,,
sub-arctique,BJ012013_TranSP8,Baie James,2013/01/09,225.92,256.42,202.61,253.25,187.52,223.80,,
sub-arctique,BJ012013_TranSP9,Baie James,2013/01/09,179.95,230.18,197.04,248.27,184.98,215.68,,
sub-arctique,BJ012013_TranSP10,Baie James,2013/01/09,201.44,254.97,209.00,253.31,187.46,222.15,,
sub-arctique,BJ012013_TranSP11,Baie James,2013/01/09,215.19,250.03,204.05,247.85,181.01,214.47,,
sub-arctique,BJ012013_SP5,Baie James,2013/01/11,237.37,257.26,225.40,254.76,211.34,230.28,,
sub-arctique,BJ022013_SP6,Baie James,2013/02/12,234.74,260.74,220.85,250.72,165.21,197.86,,
sub-arctique,BJ022013_SP7,Baie James,2013/02/13,216.71,257.75,208.30,248.53,161.14,199.18,,
sub-arctique,BJ022013_SP8,Baie James,2013/02/15,192.26,252.88,222.21,247.11,198.94,220.42,,
sub-arctique,BJ022013_SP9,Baie James,2013/02/15,209.31,254.62,202.59,246.39,166.74,201.31,,
sub-arctique,BJ022013_SP10,Baie James,2013/02/15,230.45,257.21,205.22,250.97,151.01,198.42,,
sub-arctique,BJ022013_SP11,Baie James,2013/02/15,222.37,255.84,218.35,250.68,193.70,223.96,,
sub-arctique,BJ022013_SP12,Baie James,2013/02/15,219.33,256.49,225.95,250.65,175.18,203.83,,
sub-arctique,BJ022013_SP13,Baie James,2013/02/15,197.69,253.90,201.60,246.98,173.10,199.03,,
sub-arctique,BJ022013_SP14,Baie James,2013/02/15,214.76,255.33,212.04,249.65,165.75,198.11,,
sub-arctique,BJ032013_SP15,Baie James,2013/03/19,223.22,255.37,191.28,239.80,165.20,186.95,,
sub-arctique,BJ032013_SP16,Baie James,2013/03/20,241.58,256.23,188.18,234.85,162.06,182.88,,
sub-arctique,BJ032013_SP17,Baie James,2013/03/22,197.65,252.13,193.06,239.02,180.33,207.07,,
sub-arctique,BJ032013_SP18,Baie James,2013/03/22,212.86,252.27,200.59,241.25,178.75,214.57,,
sub-arctique,BJ032013_SP19,Baie James,2013/03/22,207.42,252.24,185.08,243.76,183.76,217.95,,
sub-arctique,UMI2014_SP3,Umiujaq,2014/01/22,226.83,243.31,211.77,226.00,170.09,183.74,,
sub-arctique,BJ012015_SP2,Baie James,2015/01/11,248.23,266.04,229.71,256.31,172.97,199.20,,
sub-arctique,BJ012015_SP3,Baie James,2015/01/11,241.71,265.09,230.01,253.48,164.14,190.17,,
sub-arctique,BJ012015_SP4,Baie James,2015/01/11,240.0645,263.76809,235.6836,258.804,203.373,226.14744,,
sub-arctique,BJ012015_SP5,Baie James,2015/01/11,242.2826,261.639,237.17579,257.24715,210.90585,238.07594,,
sub-arctique,BJ012015_SP7,Baie James,2015/01/12,236.83,225.99,227.90,249.47,166.51,193.32,,
sub-arctique,BJ012015_SP8,Baie James,2015/01/12,242.622,263.9543,240.827,258.273,215.421,230.692,,
sub-arctique,BJ012015_SP9,Baie James,2015/01/12,238.90,259.80,223.02,244.29,171.12,181.49,,
sub-arctique,BJ012015_SP10,Baie James,2015/01/12,235.80,260.31,208.60,248.03,176.69,190.97,,
sub-arctique,BJ012015_SP11,Baie James,2015/01/12,224.249,256.37,222,246.6836,206.9659,224.191,,
sub-arctique,BJ022015_SP1,Baie James,2015/02/18,242.36005,266.038636,232.93966,253.98319,190.19598,206.29818,,
sub-arctique,BJ022015_SP2,Baie James,2015/02/18,245.68957,262.15217,223.4946,251.90237,206.55178,218.933609,,
sub-arctique,BJ022015_SP3,Baie James,2015/02/18,223.6298,257.6758,240.9192,251.913715,178.1767,198.94,,
sub-arctique,BJ022015_SP4,Baie James,2015/02/19,232.93,257.31,211.00,233.57,133.97,148.44,,
sub-arctique,BJ022015_SP5,Baie James,2015/02/19,243.52,259.64,223.11,238.30,142.27,155.55,,
sub-arctique,BJ022015_SP6,Baie James,2015/02/19,239.58,260.98,222.67,242.09,149.71,160.15,,
sub-arctique,BJ022015_SP7,Baie James,2015/02/19,238.5555,262.451197,229.45903,248.0125,164.72919,175.414,,
sub-arctique,BJ022015_SP8,Baie James,2015/02/19,238.4613958,256.85955,215.502958,236.585135,152.056177,165.939,,
sub-arctique,BJ022015_SP9,Baie James,2015/02/20,251.85941,260.6259,233.04756,253.74914,182.61794,202.7783,,
sub-arctique,BJ022015_SP10,Baie James,2015/02/20,250.29,260.74,231.43,244.74,162.38,171.29,,
sub-arctique,BJ022015_SP11,Baie James,2015/02/20,242.22,262.54,227.55,249.31,154.69,171.20,,
sub-arctique,BJ022015_SP12,Baie James,2015/02/20,222.571044,257.01455,217.2348,241.2665,171.70588,193.66125,,
sub-arctique,SIR2015_SP1,SIRENE,2015/01/26,,,222.93,251.64,177.62,203.08,,
sub-arctique,SIR2015_SP2,SIRENE,2015/01/30,,,229.12,254.26,189.91,210.70,,
sub-arctique,SIR2015_SP3,SIRENE,2015/02/05,,,221.34,253.64,189.92,206.56,,
sub-arctique,FM012016_SP1,Foret Montmorency,2016/01/12,123.155108910891,245.774485148515,156.650257425743,235.263485148515,169.366267326733,197.81798019802,149.020148514852,166.005227722772
sub-arctique,FM012016_SP2,Foret Montmorency,2016/01/14,172.05,245.24,161.89,230.85,168.63,204.12,,
sub-arctique,FM022016_SP1,Foret Montmorency,2016/02/09,134.42,232.66,,224.75,,192.09,,
sub-arctique,FM022016_SP2,Foret Montmorency,2016/02/10,140.30,236.00,132.78,214.21,150.77,189.13,,
