#/mnt/nas-sph/120_anisotropy_evolution/2176.aim
#xdim 300
#ydim 300
#zdim 300
#el_size 0.018 mm
#ice_vol_frac 0.228907074074 
#mean_cl_ice 9.15489051542 mean_cl_ice_x 9.97831906127 mean_cl_ice_y 9.08704640054 mean_cl_ice_z 8.51573563635 mean_cl_pore 28.8953031765 mean_cl_pore_x 31.4344993462 mean_cl_pore_y 28.5871530534 mean_cl_pore_z 27.0050055127
#mean_cl_squared_ice 144.871172681 mean_cl_squared_ice_x 175.955590321 mean_cl_squared_ice_y 143.255578606 mean_cl_squared_ice_z 119.85700901 	mean_cl_squared_pore 1787.20449854 mean_cl_squared_pore_x 2119.87830999 mean_cl_squared_pore_y 1771.05383217 mean_cl_squared_pore_z 1516.66518581
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 115934.0 34494.0 38204.0 43236.0 72809.0 21621.0 25152.0 26036.0
2 187209.0 56038.0 61731.0 69440.0 109944.0 32531.0 37901.0 39512.0
3 203797.0 60359.0 68274.0 75164.0 116266.0 34487.0 40566.0 41213.0
4 184102.0 53763.0 62668.0 67671.0 101913.0 30689.0 35319.0 35905.0
5 155483.0 44173.0 53723.0 57587.0 83161.0 25622.0 28315.0 29224.0
6 132004.0 36609.0 46070.0 49325.0 68448.0 20829.0 23316.0 24303.0
7 115866.0 32232.0 40181.0 43453.0 60387.0 17856.0 20785.0 21746.0
8 103057.0 28606.0 35539.0 38912.0 55010.0 16271.0 19047.0 19692.0
9 92161.0 25692.0 31945.0 34524.0 50902.0 14846.0 17713.0 18343.0
10 83448.0 24026.0 28476.0 30946.0 47633.0 13849.0 16328.0 17456.0
11 75995.0 22497.0 25471.0 28027.0 44932.0 13055.0 15465.0 16412.0
12 68036.0 20776.0 22386.0 24874.0 42781.0 12506.0 14509.0 15766.0
13 60359.0 18845.0 19768.0 21746.0 40857.0 11617.0 13968.0 15272.0
14 53868.0 17204.0 17412.0 19252.0 38168.0 10749.0 12972.0 14447.0
15 47670.0 15502.0 15502.0 16666.0 37050.0 10619.0 12542.0 13889.0
16 42784.0 14158.0 13772.0 14854.0 36089.0 10440.0 12211.0 13438.0
17 37645.0 12668.0 12144.0 12833.0 35082.0 9692.0 12170.0 13220.0
18 33793.0 11626.0 10676.0 11491.0 34261.0 9599.0 11821.0 12841.0
19 29122.0 10033.0 9183.0 9906.0 33154.0 9280.0 11094.0 12780.0
20 25644.0 8996.0 8390.0 8258.0 31406.0 9054.0 10536.0 11816.0
21 23098.0 8158.0 7586.0 7354.0 30384.0 8835.0 9958.0 11591.0
22 20349.0 7266.0 6789.0 6294.0 29610.0 8562.0 9397.0 11651.0
23 17346.0 6427.0 5750.0 5169.0 28447.0 8355.0 9109.0 10983.0
24 15196.0 5692.0 4923.0 4581.0 28308.0 8337.0 8952.0 11019.0
25 12895.0 5066.0 4131.0 3698.0 27836.0 8120.0 8808.0 10908.0
26 11309.0 4365.0 3749.0 3195.0 27057.0 7819.0 8831.0 10407.0
27 10143.0 4032.0 3313.0 2798.0 25883.0 7317.0 8541.0 10025.0
28 8405.0 3413.0 2718.0 2274.0 25514.0 7000.0 8425.0 10089.0
29 7351.0 3074.0 2321.0 1956.0 24385.0 6714.0 8372.0 9299.0
30 6529.0 2816.0 2058.0 1655.0 23513.0 6818.0 7852.0 8843.0
31 5648.0 2429.0 1921.0 1298.0 23218.0 6478.0 7754.0 8986.0
32 5047.0 2202.0 1688.0 1157.0 22308.0 6343.0 7309.0 8656.0
33 4360.0 1916.0 1412.0 1032.0 21740.0 6220.0 7336.0 8184.0
34 3836.0 1778.0 1247.0 811.0 21543.0 6353.0 7153.0 8037.0
35 3407.0 1592.0 1088.0 727.0 20601.0 6040.0 6999.0 7562.0
36 2952.0 1381.0 970.0 601.0 20195.0 5940.0 6858.0 7397.0
37 2499.0 1156.0 867.0 476.0 19401.0 5761.0 6549.0 7091.0
38 2155.0 984.0 786.0 385.0 19221.0 5706.0 6469.0 7046.0
39 1913.0 931.0 684.0 298.0 18316.0 5469.0 6231.0 6616.0
40 1618.0 800.0 590.0 228.0 17822.0 5314.0 6041.0 6467.0
41 1392.0 644.0 506.0 242.0 17031.0 5318.0 5735.0 5978.0
42 1154.0 501.0 466.0 187.0 16540.0 5291.0 5462.0 5787.0
43 1094.0 497.0 392.0 205.0 15756.0 5216.0 5092.0 5448.0
44 942.0 427.0 371.0 144.0 15635.0 5083.0 4946.0 5606.0
45 826.0 410.0 290.0 126.0 15329.0 5060.0 4812.0 5457.0
46 770.0 358.0 302.0 110.0 14810.0 4809.0 4696.0 5305.0
47 684.0 321.0 270.0 93.0 14276.0 4673.0 4509.0 5094.0
48 584.0 293.0 199.0 92.0 13741.0 4599.0 4291.0 4851.0
49 442.0 218.0 158.0 66.0 13681.0 4666.0 4207.0 4808.0
50 368.0 214.0 116.0 38.0 13284.0 4366.0 4179.0 4739.0
51 319.0 172.0 109.0 38.0 13011.0 4400.0 4099.0 4512.0
52 308.0 174.0 93.0 41.0 11973.0 3927.0 3860.0 4186.0
53 243.0 140.0 69.0 34.0 11881.0 3767.0 3939.0 4175.0
