#/mnt/nas-sph/120_anisotropy_evolution/666_seg3.aim
#xdim 300
#ydim 300
#zdim 196
#el_size 0.025 mm
#ice_vol_frac 0.316883106576 
#mean_cl_ice 11.0539962783 mean_cl_ice_x 11.6126484348 mean_cl_ice_y 10.7766330312 mean_cl_ice_z 10.8121316454 mean_cl_pore 22.6707751469 mean_cl_pore_x 24.0034381169 mean_cl_pore_y 22.0875680947 mean_cl_pore_z 22.0293818155
#mean_cl_squared_ice 201.542760979 mean_cl_squared_ice_x 214.116886462 mean_cl_squared_ice_y 189.979826412 mean_cl_squared_ice_z 201.436454898 	mean_cl_squared_pore 1038.65922483 mean_cl_squared_pore_x 1109.72545661 mean_cl_squared_pore_y 990.537084558 mean_cl_squared_pore_z 1021.43289001
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 60952.0 14794.0 21051.0 25107.0 55422.0 13921.0 18792.0 22709.0
2 91914.0 23322.0 32610.0 35982.0 81234.0 20525.0 28277.0 32432.0
3 105206.0 28948.0 37192.0 39066.0 86662.0 22941.0 30056.0 33665.0
4 107210.0 31528.0 37656.0 38026.0 78128.0 22092.0 26778.0 29258.0
5 104152.0 31866.0 36131.0 36155.0 66870.0 19515.0 22867.0 24488.0
6 98486.0 30870.0 34133.0 33483.0 58778.0 17400.0 20126.0 21252.0
7 91647.0 29167.0 32079.0 30401.0 52945.0 15974.0 18594.0 18377.0
8 84860.0 28134.0 29204.0 27522.0 49281.0 15146.0 17630.0 16505.0
9 78265.0 25998.0 26799.0 25468.0 46353.0 14278.0 16370.0 15705.0
10 71934.0 24004.0 24565.0 23365.0 43409.0 13884.0 15146.0 14379.0
11 66559.0 22348.0 22939.0 21272.0 40804.0 13246.0 14347.0 13211.0
12 58930.0 20212.0 20007.0 18711.0 39110.0 12646.0 14040.0 12424.0
13 53479.0 18398.0 18060.0 17021.0 37239.0 12168.0 13500.0 11571.0
14 47993.0 16438.0 16145.0 15410.0 35840.0 11958.0 12763.0 11119.0
15 43147.0 14684.0 14461.0 14002.0 33984.0 11240.0 11733.0 11011.0
16 38395.0 13106.0 12900.0 12389.0 32396.0 10920.0 11236.0 10240.0
17 33964.0 11402.0 11640.0 10922.0 30742.0 10464.0 10632.0 9646.0
18 30123.0 10272.0 10151.0 9700.0 29858.0 9867.0 10300.0 9691.0
19 26945.0 9350.0 8986.0 8609.0 28343.0 9521.0 9546.0 9276.0
20 24225.0 8569.0 8078.0 7578.0 26949.0 8989.0 9189.0 8771.0
21 21578.0 7558.0 7215.0 6805.0 25932.0 8637.0 8988.0 8307.0
22 19775.0 6835.0 6560.0 6380.0 24847.0 8234.0 8547.0 8066.0
23 17626.0 5918.0 5992.0 5716.0 24492.0 8062.0 8288.0 8142.0
24 15704.0 5442.0 5106.0 5156.0 23158.0 7629.0 7978.0 7551.0
25 14283.0 4958.0 4655.0 4670.0 22563.0 7445.0 8017.0 7101.0
26 12493.0 4339.0 3955.0 4199.0 22019.0 7504.0 7756.0 6759.0
27 10729.0 3772.0 3294.0 3663.0 21058.0 7057.0 7406.0 6595.0
28 9564.0 3412.0 2958.0 3194.0 20348.0 6660.0 7002.0 6686.0
29 8772.0 2984.0 2895.0 2893.0 19415.0 6412.0 6413.0 6590.0
30 7612.0 2502.0 2572.0 2538.0 18141.0 6127.0 6069.0 5945.0
31 6733.0 2290.0 2207.0 2236.0 17630.0 5975.0 5885.0 5770.0
32 6128.0 2160.0 1913.0 2055.0 16954.0 5618.0 5940.0 5396.0
33 5523.0 1896.0 1747.0 1880.0 16139.0 5227.0 5605.0 5307.0
34 4744.0 1579.0 1495.0 1670.0 15249.0 5121.0 5247.0 4881.0
35 4354.0 1427.0 1397.0 1530.0 15105.0 5175.0 5146.0 4784.0
36 3692.0 1181.0 1239.0 1272.0 14178.0 4750.0 4873.0 4555.0
