#/mnt/nas-sph/120_anisotropy_evolution/C0002230_SEG_SCALED.aim
#xdim 254
#ydim 254
#zdim 254
#el_size 0.02 mm
#ice_vol_frac 0.199449700081 
#mean_cl_ice 9.58121452917 mean_cl_ice_x 10.450102634 mean_cl_ice_y 10.3061028215 mean_cl_ice_z 8.30633929888 mean_cl_pore 34.0805138574 mean_cl_pore_x 36.7842714461 mean_cl_pore_y 36.3113376494 mean_cl_pore_z 30.0284956303
#mean_cl_squared_ice 133.89138987 mean_cl_squared_ice_x 166.134252243 mean_cl_squared_ice_y 155.968268734 mean_cl_squared_ice_z 90.4697673591 	mean_cl_squared_pore 2190.87782074 mean_cl_squared_pore_x 2528.80924355 mean_cl_squared_pore_y 2422.63066626 mean_cl_squared_pore_z 1723.35732271
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 21972.0 6598.0 7182.0 8192.0 14017.0 3909.0 4372.0 5736.0
2 32160.0 9797.0 9881.0 12482.0 20532.0 5707.0 5646.0 9179.0
3 44130.0 13079.0 13265.0 17786.0 24743.0 7035.0 6741.0 10967.0
4 58349.0 17220.0 16996.0 24133.0 27459.0 7916.0 7378.0 12165.0
5 73589.0 20999.0 20865.0 31725.0 29082.0 8582.0 7834.0 12666.0
6 90795.0 24888.0 24484.0 41423.0 29718.0 8564.0 8454.0 12700.0
7 106116.0 27525.0 27495.0 51096.0 30354.0 8750.0 8917.0 12687.0
8 111228.0 28375.0 28849.0 54004.0 30338.0 8921.0 8885.0 12532.0
9 97667.0 26799.0 27774.0 43094.0 30013.0 8674.0 8672.0 12667.0
10 75957.0 23417.0 24324.0 28216.0 29069.0 8363.0 8339.0 12367.0
11 58368.0 19303.0 19752.0 19313.0 28917.0 8037.0 8598.0 12282.0
12 45370.0 15305.0 16087.0 13978.0 27353.0 7524.0 8218.0 11611.0
13 35019.0 12020.0 12935.0 10064.0 26267.0 7338.0 7870.0 11059.0
14 27281.0 9747.0 10273.0 7261.0 24819.0 7058.0 7629.0 10132.0
15 21838.0 7898.0 8293.0 5647.0 23292.0 6732.0 7213.0 9347.0
16 17972.0 6655.0 6643.0 4674.0 22329.0 6439.0 6753.0 9137.0
17 14985.0 5507.0 5613.0 3865.0 21908.0 6522.0 6516.0 8870.0
18 12686.0 4819.0 4726.0 3141.0 22052.0 6487.0 6637.0 8928.0
19 10457.0 3986.0 4075.0 2396.0 20906.0 6134.0 6117.0 8655.0
20 9034.0 3410.0 3646.0 1978.0 20607.0 6229.0 5820.0 8558.0
21 7531.0 2989.0 2998.0 1544.0 20775.0 6214.0 6001.0 8560.0
22 6608.0 2678.0 2698.0 1232.0 20517.0 6152.0 6058.0 8307.0
23 5652.0 2320.0 2307.0 1025.0 19664.0 5949.0 5931.0 7784.0
24 4967.0 2094.0 2092.0 781.0 18865.0 5702.0 5689.0 7474.0
25 4278.0 1794.0 1775.0 709.0 18514.0 5498.0 5700.0 7316.0
26 3657.0 1662.0 1418.0 577.0 17622.0 5317.0 5181.0 7124.0
27 2946.0 1324.0 1171.0 451.0 17423.0 5173.0 5194.0 7056.0
28 2639.0 1118.0 1150.0 371.0 16040.0 4761.0 4748.0 6531.0
29 2384.0 986.0 1060.0 338.0 15136.0 4562.0 4589.0 5985.0
30 2085.0 927.0 892.0 266.0 14845.0 4270.0 4600.0 5975.0
31 1766.0 776.0 737.0 253.0 14700.0 4324.0 4459.0 5917.0
32 1556.0 667.0 681.0 208.0 14007.0 4390.0 4289.0 5328.0
33 1368.0 608.0 589.0 171.0 13318.0 4269.0 4411.0 4638.0
34 1116.0 534.0 457.0 125.0 13335.0 4234.0 4485.0 4616.0
35 993.0 433.0 435.0 125.0 13298.0 4049.0 4604.0 4645.0
36 859.0 403.0 345.0 111.0 12768.0 3970.0 4491.0 4307.0
37 821.0 353.0 382.0 86.0 12141.0 3965.0 4116.0 4060.0
38 719.0 343.0 296.0 80.0 11612.0 3950.0 3802.0 3860.0
39 591.0 295.0 235.0 61.0 11312.0 3676.0 3845.0 3791.0
40 539.0 262.0 224.0 53.0 10730.0 3441.0 3589.0 3700.0
41 463.0 215.0 185.0 63.0 10355.0 3153.0 3635.0 3567.0
42 438.0 232.0 137.0 69.0 10112.0 3156.0 3448.0 3508.0
43 460.0 228.0 168.0 64.0 9478.0 2939.0 3269.0 3270.0
44 339.0 172.0 121.0 46.0 9029.0 2848.0 3149.0 3032.0
45 328.0 165.0 131.0 32.0 9152.0 2980.0 3036.0 3136.0
46 274.0 137.0 114.0 23.0 8884.0 2966.0 3019.0 2899.0
47 233.0 120.0 90.0 23.0 8783.0 2850.0 2877.0 3056.0
48 240.0 123.0 91.0 26.0 8395.0 2729.0 2750.0 2916.0
49 216.0 96.0 87.0 33.0 8192.0 2676.0 2800.0 2716.0
50 184.0 95.0 73.0 16.0 7799.0 2501.0 2793.0 2505.0
51 175.0 110.0 58.0 7.0 7639.0 2430.0 2563.0 2646.0
52 153.0 102.0 45.0 6.0 7426.0 2395.0 2520.0 2511.0
53 136.0 79.0 50.0 7.0 7119.0 2287.0 2484.0 2348.0
54 115.0 68.0 46.0 1.0 6938.0 2228.0 2292.0 2418.0
55 127.0 75.0 52.0 0.0 6650.0 2176.0 2338.0 2136.0
56 138.0 89.0 47.0 2.0 6310.0 2190.0 2149.0 1971.0
57 133.0 68.0 63.0 2.0 6188.0 2068.0 2183.0 1937.0
58 120.0 68.0 51.0 1.0 6116.0 2039.0 2104.0 1973.0
59 106.0 45.0 60.0 1.0 6014.0 1994.0 2110.0 1910.0
60 97.0 38.0 57.0 2.0 6051.0 2071.0 2104.0 1876.0
61 69.0 30.0 34.0 5.0 5782.0 2025.0 1957.0 1800.0
62 90.0 55.0 29.0 6.0 5447.0 1931.0 1826.0 1690.0
63 63.0 36.0 25.0 2.0 5670.0 2017.0 1922.0 1731.0
64 48.0 23.0 25.0 0.0 5300.0 1908.0 1747.0 1645.0
65 65.0 24.0 40.0 1.0 5129.0 1784.0 1776.0 1569.0
66 61.0 22.0 38.0 1.0 4948.0 1728.0 1705.0 1515.0
67 67.0 40.0 27.0 0.0 4787.0 1672.0 1650.0 1465.0
68 63.0 38.0 24.0 1.0 4559.0 1600.0 1525.0 1434.0
69 56.0 39.0 16.0 1.0 4333.0 1549.0 1522.0 1262.0
70 29.0 23.0 5.0 1.0 4348.0 1589.0 1473.0 1286.0
71 24.0 18.0 6.0 0.0 4232.0 1480.0 1483.0 1269.0
72 19.0 13.0 6.0 0.0 4044.0 1381.0 1453.0 1210.0
73 25.0 14.0 11.0 0.0 3918.0 1333.0 1436.0 1149.0
74 18.0 16.0 2.0 0.0 3694.0 1294.0 1328.0 1072.0
75 13.0 8.0 3.0 2.0 3559.0 1255.0 1295.0 1009.0
76 7.0 7.0 0.0 0.0 3433.0 1164.0 1275.0 994.0
77 8.0 6.0 2.0 0.0 3386.0 1075.0 1265.0 1046.0
78 10.0 8.0 1.0 1.0 3244.0 1147.0 1134.0 963.0
79 10.0 9.0 1.0 0.0 3025.0 1113.0 1035.0 877.0
80 15.0 11.0 3.0 1.0 2908.0 1045.0 1049.0 814.0
