#/mnt/nas-sph/120_anisotropy_evolution/C0004068_SEG.aim
#xdim 626
#ydim 626
#zdim 625
#el_size 0.01 mm
#ice_vol_frac 0.0675948024375 
#mean_cl_ice 3.92630542349 mean_cl_ice_x 4.11543664602 mean_cl_ice_y 4.02848643604 mean_cl_ice_z 3.66491915721 mean_cl_pore 50.1112075071 mean_cl_pore_x 52.2855597744 mean_cl_pore_y 51.3358261631 mean_cl_pore_z 47.0332948678
#mean_cl_squared_ice 22.044745993 mean_cl_squared_ice_x 24.2312546206 mean_cl_squared_ice_y 23.270976651 mean_cl_squared_ice_z 18.9820303607 	mean_cl_squared_pore 6041.9306964 mean_cl_squared_pore_x 6421.06663296 mean_cl_squared_pore_y 6243.91426083 mean_cl_squared_pore_z 5515.82524895
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 1226241.0 357846.0 380083.0 488312.0 199800.0 58995.0 61542.0 79263.0
2 2426804.0 704674.0 751007.0 971123.0 378457.0 108773.0 115702.0 153982.0
3 3068771.0 924174.0 967717.0 1176880.0 554432.0 158933.0 167590.0 227909.0
4 2362057.0 775133.0 782587.0 804337.0 598011.0 178023.0 185746.0 234242.0
5 1333791.0 463956.0 455537.0 414298.0 515510.0 159939.0 163970.0 191601.0
6 753610.0 263435.0 257637.0 232538.0 433098.0 136316.0 138463.0 158319.0
7 477232.0 165957.0 163459.0 147816.0 379832.0 119376.0 121391.0 139065.0
8 317854.0 112178.0 109908.0 95768.0 341605.0 107450.0 108982.0 125173.0
9 211928.0 76828.0 73724.0 61376.0 310171.0 97803.0 98921.0 113447.0
10 143379.0 53098.0 50441.0 39840.0 282914.0 89558.0 90776.0 102580.0
11 95756.0 35945.0 33875.0 25936.0 259762.0 82338.0 83241.0 94183.0
12 65294.0 24741.0 23523.0 17030.0 240065.0 75984.0 77159.0 86922.0
13 45513.0 17393.0 16407.0 11713.0 223442.0 70528.0 72633.0 80281.0
14 32032.0 12436.0 11424.0 8172.0 209644.0 66082.0 67750.0 75812.0
15 22820.0 8805.0 8170.0 5845.0 195161.0 61619.0 62209.0 71333.0
16 16559.0 6455.0 5933.0 4171.0 183786.0 58524.0 58710.0 66552.0
17 12042.0 4782.0 4247.0 3013.0 173254.0 54649.0 55945.0 62660.0
18 8914.0 3455.0 3171.0 2288.0 164819.0 52177.0 53028.0 59614.0
19 6702.0 2614.0 2407.0 1681.0 157937.0 51004.0 50762.0 56171.0
20 4882.0 1973.0 1779.0 1130.0 150606.0 48041.0 48944.0 53621.0
21 3717.0 1463.0 1389.0 865.0 143950.0 46012.0 46482.0 51456.0
22 2865.0 1196.0 1036.0 633.0 138607.0 43745.0 44739.0 50123.0
23 2180.0 904.0 811.0 465.0 133635.0 42071.0 43396.0 48168.0
24 1641.0 645.0 626.0 370.0 128886.0 40977.0 42125.0 45784.0
25 1310.0 547.0 445.0 318.0 125695.0 39809.0 41068.0 44818.0
26 1007.0 399.0 353.0 255.0 121759.0 38914.0 39803.0 43042.0
27 895.0 329.0 343.0 223.0 117911.0 37685.0 38098.0 42128.0
28 707.0 229.0 288.0 190.0 115370.0 36619.0 37388.0 41363.0
29 538.0 191.0 182.0 165.0 112435.0 35357.0 37041.0 40037.0
30 444.0 152.0 177.0 115.0 110191.0 34385.0 36431.0 39375.0
