#/mnt/nas-sph/120_anisotropy_evolution/D0001090_SEG_ADTHRESHOLD_SCALED2.AIM
#xdim 198
#ydim 198
#zdim 198
#el_size 0.054 mm
#ice_vol_frac 0.278961304711 
#mean_cl_ice 3.70903401107 mean_cl_ice_x 3.73319644646 mean_cl_ice_y 3.73753941802 mean_cl_ice_z 3.65746700875 mean_cl_pore 9.29933573622 mean_cl_pore_x 9.34653407478 mean_cl_pore_y 9.3937357025 mean_cl_pore_z 9.16101296818
#mean_cl_squared_ice 19.944180823 mean_cl_squared_ice_x 20.2497288985 mean_cl_squared_ice_y 20.310323163 mean_cl_squared_ice_z 19.286532748 	mean_cl_squared_pore 169.72562317 mean_cl_squared_pore_x 172.185710469 mean_cl_squared_pore_y 174.103385077 mean_cl_squared_pore_z 163.045060454
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 275618.0 90392.0 90806.0 94420.0 173855.0 56065.0 56341.0 61449.0
2 364120.0 120000.0 119436.0 124684.0 199521.0 66099.0 64730.0 68692.0
3 355168.0 116780.0 116852.0 121536.0 171872.0 57599.0 56685.0 57588.0
4 266070.0 88560.0 87137.0 90373.0 145095.0 48406.0 47953.0 48736.0
5 173633.0 57564.0 57849.0 58220.0 124039.0 41394.0 41292.0 41353.0
6 111018.0 37527.0 37095.0 36396.0 107770.0 36155.0 35846.0 35769.0
7 72015.0 23962.0 24496.0 23557.0 94937.0 31781.0 31337.0 31819.0
8 47009.0 15710.0 15977.0 15322.0 84189.0 28035.0 27603.0 28551.0
9 30376.0 10194.0 10340.0 9842.0 73867.0 24702.0 24370.0 24795.0
10 19401.0 6592.0 6634.0 6175.0 65731.0 21518.0 21784.0 22429.0
11 12688.0 4289.0 4266.0 4133.0 58975.0 19418.0 19534.0 20023.0
12 8151.0 2758.0 2779.0 2614.0 52038.0 16984.0 17135.0 17919.0
13 5373.0 1909.0 1827.0 1637.0 46567.0 15318.0 15260.0 15989.0
14 3644.0 1226.0 1356.0 1062.0 42053.0 13864.0 14193.0 13996.0
15 2373.0 865.0 824.0 684.0 37541.0 12271.0 12485.0 12785.0
16 1583.0 565.0 556.0 462.0 33306.0 11160.0 11028.0 11118.0
17 1072.0 381.0 363.0 328.0 30034.0 9982.0 9819.0 10233.0
18 694.0 241.0 246.0 207.0 26954.0 8787.0 9027.0 9140.0
19 447.0 158.0 152.0 137.0 23951.0 7787.0 7915.0 8249.0
20 316.0 94.0 117.0 105.0 21562.0 7128.0 7139.0 7295.0
21 196.0 79.0 70.0 47.0 19305.0 6458.0 6204.0 6643.0
22 166.0 61.0 61.0 44.0 17423.0 5693.0 5766.0 5964.0
23 91.0 31.0 38.0 22.0 15475.0 4941.0 5245.0 5289.0
24 76.0 31.0 32.0 13.0 13821.0 4466.0 4706.0 4649.0
25 53.0 19.0 23.0 11.0 12386.0 4040.0 4128.0 4218.0
26 34.0 15.0 13.0 6.0 11357.0 3768.0 3705.0 3884.0
27 30.0 16.0 8.0 6.0 10370.0 3598.0 3311.0 3461.0
28 16.0 11.0 2.0 3.0 9229.0 3183.0 3056.0 2990.0
29 8.0 4.0 2.0 2.0 8260.0 2780.0 2729.0 2751.0
30 5.0 2.0 2.0 1.0 7489.0 2585.0 2465.0 2439.0
31 1.0 0.0 1.0 0.0 6780.0 2388.0 2256.0 2136.0
32 6.0 2.0 3.0 1.0 5965.0 2009.0 2000.0 1956.0
33 3.0 1.0 1.0 1.0 5384.0 1798.0 1878.0 1708.0
34 2.0 1.0 1.0 0.0 4878.0 1644.0 1653.0 1581.0
35 1.0 1.0 0.0 0.0 4215.0 1377.0 1417.0 1421.0
36 0.0 0.0 0.0 0.0 4103.0 1402.0 1360.0 1341.0
37 1.0 0.0 1.0 0.0 3521.0 1147.0 1236.0 1138.0
38 0.0 0.0 0.0 0.0 3229.0 1113.0 1064.0 1052.0
39 0.0 0.0 0.0 0.0 2694.0 903.0 982.0 809.0
40 0.0 0.0 0.0 0.0 2532.0 874.0 890.0 768.0
41 0.0 0.0 0.0 0.0 2227.0 783.0 792.0 652.0
42 1.0 0.0 1.0 0.0 2120.0 767.0 736.0 617.0
43 0.0 0.0 0.0 0.0 1929.0 701.0 651.0 577.0
44 0.0 0.0 0.0 0.0 1703.0 595.0 626.0 482.0
45 0.0 0.0 0.0 0.0 1515.0 499.0 532.0 484.0
46 0.0 0.0 0.0 0.0 1402.0 481.0 490.0 431.0
47 0.0 0.0 0.0 0.0 1268.0 448.0 449.0 371.0
48 0.0 0.0 0.0 0.0 1120.0 396.0 371.0 353.0
49 0.0 0.0 0.0 0.0 994.0 361.0 349.0 284.0
50 0.0 0.0 0.0 0.0 907.0 321.0 333.0 253.0
51 0.0 0.0 0.0 0.0 785.0 298.0 272.0 215.0
52 0.0 0.0 0.0 0.0 773.0 266.0 276.0 231.0
53 0.0 0.0 0.0 0.0 718.0 267.0 234.0 217.0
54 0.0 0.0 0.0 0.0 615.0 230.0 190.0 195.0
55 0.0 0.0 0.0 0.0 505.0 173.0 188.0 144.0
56 0.0 0.0 0.0 0.0 422.0 142.0 145.0 135.0
57 0.0 0.0 0.0 0.0 424.0 135.0 146.0 143.0
58 0.0 0.0 0.0 0.0 372.0 129.0 124.0 119.0
59 0.0 0.0 0.0 0.0 340.0 99.0 132.0 109.0
60 0.0 0.0 0.0 0.0 325.0 91.0 118.0 116.0
61 0.0 0.0 0.0 0.0 288.0 92.0 105.0 91.0
62 0.0 0.0 0.0 0.0 266.0 91.0 105.0 70.0
63 0.0 0.0 0.0 0.0 267.0 98.0 109.0 60.0
64 0.0 0.0 0.0 0.0 247.0 83.0 101.0 63.0
65 0.0 0.0 0.0 0.0 188.0 73.0 71.0 44.0
66 0.0 0.0 0.0 0.0 182.0 66.0 79.0 37.0
67 0.0 0.0 0.0 0.0 159.0 60.0 62.0 37.0
68 0.0 0.0 0.0 0.0 135.0 52.0 51.0 32.0
69 0.0 0.0 0.0 0.0 117.0 46.0 39.0 32.0
70 0.0 0.0 0.0 0.0 89.0 26.0 45.0 18.0
71 0.0 0.0 0.0 0.0 66.0 24.0 25.0 17.0
72 0.0 0.0 0.0 0.0 88.0 33.0 36.0 19.0
73 0.0 0.0 0.0 0.0 69.0 27.0 26.0 16.0
74 0.0 0.0 0.0 0.0 61.0 14.0 21.0 26.0
75 0.0 0.0 0.0 0.0 68.0 16.0 37.0 15.0
76 0.0 0.0 0.0 0.0 68.0 20.0 28.0 20.0
77 0.0 0.0 0.0 0.0 44.0 17.0 20.0 7.0
78 0.0 0.0 0.0 0.0 46.0 20.0 17.0 9.0
79 0.0 0.0 0.0 0.0 33.0 16.0 8.0 9.0
80 0.0 0.0 0.0 0.0 39.0 20.0 13.0 6.0
81 0.0 0.0 0.0 0.0 30.0 12.0 10.0 8.0
82 0.0 0.0 0.0 0.0 34.0 18.0 12.0 4.0
83 0.0 0.0 0.0 0.0 39.0 16.0 14.0 9.0
84 0.0 0.0 0.0 0.0 28.0 11.0 9.0 8.0
85 0.0 0.0 0.0 0.0 19.0 9.0 8.0 2.0
86 0.0 0.0 0.0 0.0 21.0 9.0 8.0 4.0
87 0.0 0.0 0.0 0.0 21.0 9.0 6.0 6.0
88 0.0 0.0 0.0 0.0 10.0 5.0 2.0 3.0
89 0.0 0.0 0.0 0.0 14.0 7.0 3.0 4.0
90 0.0 0.0 0.0 0.0 22.0 7.0 11.0 4.0
91 0.0 0.0 0.0 0.0 9.0 5.0 3.0 1.0
92 0.0 0.0 0.0 0.0 11.0 3.0 6.0 2.0
93 0.0 0.0 0.0 0.0 11.0 2.0 7.0 2.0
94 0.0 0.0 0.0 0.0 7.0 0.0 6.0 1.0
95 0.0 0.0 0.0 0.0 5.0 3.0 1.0 1.0
96 0.0 0.0 0.0 0.0 5.0 2.0 2.0 1.0
97 0.0 0.0 0.0 0.0 10.0 2.0 6.0 2.0
98 0.0 0.0 0.0 0.0 3.0 0.0 3.0 0.0
99 0.0 0.0 0.0 0.0 7.0 4.0 3.0 0.0
100 0.0 0.0 0.0 0.0 4.0 0.0 3.0 1.0
101 0.0 0.0 0.0 0.0 2.0 1.0 1.0 0.0
102 0.0 0.0 0.0 0.0 4.0 1.0 1.0 2.0
103 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0
104 0.0 0.0 0.0 0.0 2.0 1.0 1.0 0.0
