#/mnt/nas-sph/120_anisotropy_evolution/D0001112_SEG_ADTHRESHOLD_SCALED2.aim
#xdim 198
#ydim 198
#zdim 198
#el_size 0.054 mm
#ice_vol_frac 0.175210811307 
#mean_cl_ice 3.8734579182 mean_cl_ice_x 4.03711322457 mean_cl_ice_y 4.11070341568 mean_cl_ice_z 3.52693065712 mean_cl_pore 16.8596725151 mean_cl_pore_x 17.4818337211 mean_cl_pore_y 17.7849116774 mean_cl_pore_z 15.5015386925
#mean_cl_squared_ice 22.7200552515 mean_cl_squared_ice_x 24.5395532046 mean_cl_squared_ice_y 25.8017119178 mean_cl_squared_ice_z 18.4864711374 	mean_cl_squared_pore 584.913688041 mean_cl_squared_pore_x 622.241016525 mean_cl_squared_pore_y 661.335345443 mean_cl_squared_pore_z 485.204681209
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 200467.0 60906.0 59942.0 79619.0 92462.0 28495.0 29470.0 34497.0
2 205289.0 61927.0 60114.0 83248.0 78464.0 23968.0 24209.0 30287.0
3 174337.0 54017.0 52256.0 68064.0 61919.0 18894.0 18939.0 24086.0
4 136442.0 43575.0 42290.0 50577.0 54441.0 16570.0 16758.0 21113.0
5 102563.0 34023.0 32624.0 35916.0 49603.0 15508.0 14991.0 19104.0
6 73685.0 25166.0 24479.0 24040.0 45851.0 14465.0 13948.0 17438.0
7 52411.0 18310.0 17909.0 16192.0 42571.0 13693.0 13113.0 15765.0
8 36105.0 12701.0 12919.0 10485.0 40799.0 12922.0 12720.0 15157.0
9 24037.0 8589.0 8886.0 6562.0 38575.0 12050.0 11970.0 14555.0
10 16279.0 6089.0 6064.0 4126.0 36046.0 11286.0 11118.0 13642.0
11 10763.0 3946.0 4254.0 2563.0 33804.0 10630.0 10435.0 12739.0
12 7189.0 2649.0 2976.0 1564.0 31958.0 10145.0 9963.0 11850.0
13 4773.0 1702.0 2076.0 995.0 30326.0 9731.0 9321.0 11274.0
14 2972.0 1027.0 1340.0 605.0 28656.0 9208.0 8764.0 10684.0
15 2123.0 774.0 903.0 446.0 26991.0 8718.0 8351.0 9922.0
