#/mnt/nas-sph/120_anisotropy_evolution/c0003025_seg_adthreshold_scaledsub.aim
#xdim 190
#ydim 190
#zdim 190
#el_size 0.036 mm
#ice_vol_frac 0.332473684211 
#mean_cl_ice 7.12664029759 mean_cl_ice_x 7.9000523105 mean_cl_ice_y 7.96817881639 mean_cl_ice_z 5.92153650006 mean_cl_pore 13.7262316264 mean_cl_pore_x 15.1538298598 mean_cl_pore_y 15.2644716268 mean_cl_pore_z 11.4865818199
#mean_cl_squared_ice 74.3614337219 mean_cl_squared_ice_x 91.3599100675 mean_cl_squared_ice_y 92.5343212448 mean_cl_squared_ice_z 48.1149674508 	mean_cl_squared_pore 351.683810854 mean_cl_squared_pore_x 425.813592419 mean_cl_squared_pore_y 430.228355487 mean_cl_squared_pore_z 236.38842602
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 46793.0 13820.0 13106.0 19867.0 36739.0 10262.0 9899.0 16578.0
2 65689.0 17566.0 17241.0 30882.0 59304.0 15474.0 14927.0 28903.0
3 87137.0 21793.0 21428.0 43916.0 67118.0 17863.0 17914.0 31341.0
4 106758.0 26407.0 25843.0 54508.0 66889.0 18489.0 18387.0 30013.0
5 113262.0 29219.0 28643.0 55400.0 62296.0 17745.0 17144.0 27407.0
6 106150.0 28497.0 29013.0 48640.0 57710.0 16477.0 16061.0 25172.0
7 90067.0 26391.0 25983.0 37693.0 52346.0 14676.0 14738.0 22932.0
8 72389.0 22623.0 22454.0 27312.0 47319.0 13531.0 13476.0 20312.0
9 55806.0 18917.0 18343.0 18546.0 43304.0 12563.0 12420.0 18321.0
10 44298.0 15750.0 15598.0 12950.0 39383.0 11310.0 11656.0 16417.0
11 34061.0 12695.0 12511.0 8855.0 36433.0 10390.0 10811.0 15232.0
12 26618.0 10117.0 10019.0 6482.0 32963.0 9915.0 9639.0 13409.0
13 20958.0 8177.0 8131.0 4650.0 30049.0 9187.0 8881.0 11981.0
14 17399.0 6712.0 6985.0 3702.0 27950.0 8616.0 8223.0 11111.0
15 13916.0 5542.0 5602.0 2772.0 26100.0 8034.0 7857.0 10209.0
16 11056.0 4387.0 4556.0 2113.0 23724.0 7258.0 7284.0 9182.0
17 8816.0 3615.0 3702.0 1499.0 21710.0 6560.0 6704.0 8446.0
18 7256.0 2986.0 3085.0 1185.0 19989.0 6394.0 6157.0 7438.0
19 5897.0 2427.0 2551.0 919.0 18465.0 6002.0 5816.0 6647.0
20 4725.0 1970.0 1974.0 781.0 17106.0 5605.0 5444.0 6057.0
21 3829.0 1520.0 1672.0 637.0 15702.0 5094.0 5124.0 5484.0
22 3120.0 1251.0 1414.0 455.0 14571.0 4787.0 4737.0 5047.0
23 2386.0 983.0 1058.0 345.0 13672.0 4460.0 4409.0 4803.0
24 2016.0 873.0 881.0 262.0 12557.0 4166.0 4059.0 4332.0
25 1678.0 756.0 757.0 165.0 11831.0 4000.0 3826.0 4005.0
26 1504.0 664.0 709.0 131.0 10887.0 3667.0 3562.0 3658.0
27 1183.0 539.0 555.0 89.0 10171.0 3443.0 3339.0 3389.0
28 989.0 452.0 458.0 79.0 9303.0 3243.0 3202.0 2858.0
29 798.0 323.0 402.0 73.0 8710.0 2958.0 3196.0 2556.0
30 630.0 296.0 285.0 49.0 7879.0 2598.0 2995.0 2286.0
31 450.0 197.0 225.0 28.0 7125.0 2417.0 2667.0 2041.0
32 456.0 211.0 214.0 31.0 6852.0 2343.0 2426.0 2083.0
33 354.0 157.0 181.0 16.0 6252.0 2227.0 2300.0 1725.0
34 277.0 127.0 134.0 16.0 5859.0 2087.0 2194.0 1578.0
35 237.0 123.0 110.0 4.0 5272.0 1883.0 2013.0 1376.0
36 167.0 98.0 59.0 10.0 5233.0 1910.0 1929.0 1394.0
37 145.0 81.0 55.0 9.0 4686.0 1733.0 1668.0 1285.0
38 124.0 82.0 37.0 5.0 4312.0 1581.0 1532.0 1199.0
39 87.0 55.0 24.0 8.0 4026.0 1488.0 1533.0 1005.0
40 64.0 38.0 20.0 6.0 3714.0 1309.0 1452.0 953.0
41 80.0 46.0 30.0 4.0 3230.0 1247.0 1264.0 719.0
42 70.0 39.0 25.0 6.0 3080.0 1189.0 1204.0 687.0
43 63.0 36.0 24.0 3.0 2811.0 1131.0 1058.0 622.0
44 30.0 18.0 12.0 0.0 2645.0 1032.0 1017.0 596.0
45 24.0 17.0 7.0 0.0 2510.0 990.0 997.0 523.0
46 30.0 17.0 10.0 3.0 2262.0 839.0 937.0 486.0
47 29.0 14.0 14.0 1.0 2195.0 771.0 915.0 509.0
48 11.0 4.0 5.0 2.0 1893.0 713.0 751.0 429.0
49 16.0 6.0 10.0 0.0 1779.0 707.0 683.0 389.0
50 12.0 6.0 6.0 0.0 1667.0 692.0 619.0 356.0
51 8.0 6.0 2.0 0.0 1499.0 585.0 585.0 329.0
52 11.0 4.0 7.0 0.0 1424.0 617.0 554.0 253.0
53 9.0 4.0 5.0 0.0 1360.0 554.0 582.0 224.0
54 7.0 4.0 3.0 0.0 1240.0 488.0 540.0 212.0
55 2.0 0.0 2.0 0.0 1124.0 474.0 450.0 200.0
