#/mnt/nas-sph/120_anisotropy_evolution/c0003187_seg_adthreshold_scaled2.aim
#xdim 198
#ydim 198
#zdim 198
#el_size 0.036 mm
#ice_vol_frac 0.117957840831 
#mean_cl_ice 8.13150883633 mean_cl_ice_x 7.96675425469 mean_cl_ice_y 7.9619742437 mean_cl_ice_z 8.48776847706 mean_cl_pore 48.3688583075 mean_cl_pore_x 47.2098973991 mean_cl_pore_y 48.1748696552 mean_cl_pore_z 49.791699392
#mean_cl_squared_ice 104.844163879 mean_cl_squared_ice_x 97.3727856472 mean_cl_squared_ice_y 98.1213293797 mean_cl_squared_ice_z 119.970957665 	mean_cl_squared_pore 6164.0545732 mean_cl_squared_pore_x 5465.10900654 mean_cl_squared_pore_y 6493.83695109 mean_cl_squared_pore_z 6560.37345464
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 13994.0 4118.0 4561.0 5315.0 17315.0 5457.0 5774.0 6084.0
2 23092.0 7571.0 7661.0 7860.0 27575.0 9273.0 9301.0 9001.0
3 32015.0 11068.0 10872.0 10075.0 28011.0 10082.0 9477.0 8452.0
4 36430.0 12526.0 12680.0 11224.0 22523.0 7862.0 7624.0 7037.0
5 34887.0 11906.0 12472.0 10509.0 18048.0 6015.0 6295.0 5738.0
6 30452.0 10271.0 10682.0 9499.0 15531.0 5034.0 5546.0 4951.0
7 26065.0 9177.0 9059.0 7829.0 12983.0 4062.0 4863.0 4058.0
8 22355.0 8364.0 7438.0 6553.0 11134.0 3663.0 4007.0 3464.0
9 18640.0 6963.0 6363.0 5314.0 9959.0 3212.0 3555.0 3192.0
10 15432.0 5607.0 5368.0 4457.0 8940.0 2857.0 3242.0 2841.0
11 12738.0 4478.0 4426.0 3834.0 8126.0 2583.0 2875.0 2668.0
12 10798.0 3701.0 3714.0 3383.0 7329.0 2280.0 2730.0 2319.0
13 9030.0 3016.0 3074.0 2940.0 6704.0 2041.0 2510.0 2153.0
14 7975.0 2645.0 2673.0 2657.0 6155.0 1750.0 2299.0 2106.0
15 6946.0 2295.0 2281.0 2370.0 5617.0 1696.0 2187.0 1734.0
16 5920.0 2087.0 1987.0 1846.0 5408.0 1586.0 2036.0 1786.0
17 4855.0 1523.0 1745.0 1587.0 4915.0 1396.0 1830.0 1689.0
18 4131.0 1284.0 1419.0 1428.0 4453.0 1326.0 1587.0 1540.0
19 3453.0 1087.0 1130.0 1236.0 4140.0 1150.0 1564.0 1426.0
20 2667.0 837.0 782.0 1048.0 3810.0 1148.0 1414.0 1248.0
21 2459.0 707.0 781.0 971.0 3501.0 1111.0 1180.0 1210.0
22 1968.0 576.0 558.0 834.0 3570.0 1154.0 1187.0 1229.0
23 1634.0 498.0 458.0 678.0 3697.0 1039.0 1209.0 1449.0
24 1488.0 392.0 425.0 671.0 3329.0 974.0 1025.0 1330.0
25 1226.0 337.0 350.0 539.0 3114.0 963.0 919.0 1232.0
26 970.0 241.0 284.0 445.0 2983.0 910.0 952.0 1121.0
27 835.0 198.0 255.0 382.0 2840.0 921.0 960.0 959.0
28 755.0 204.0 214.0 337.0 2592.0 881.0 849.0 862.0
29 638.0 179.0 206.0 253.0 2435.0 893.0 753.0 789.0
30 544.0 166.0 163.0 215.0 2355.0 932.0 736.0 687.0
31 444.0 149.0 116.0 179.0 2461.0 967.0 823.0 671.0
32 367.0 101.0 98.0 168.0 2281.0 886.0 815.0 580.0
33 407.0 116.0 90.0 201.0 2287.0 795.0 896.0 596.0
34 266.0 79.0 72.0 115.0 2058.0 728.0 722.0 608.0
35 246.0 63.0 81.0 102.0 2123.0 788.0 757.0 578.0
36 227.0 61.0 81.0 85.0 2119.0 800.0 784.0 535.0
37 212.0 55.0 75.0 82.0 2209.0 848.0 852.0 509.0
38 163.0 38.0 42.0 83.0 2147.0 810.0 768.0 569.0
39 131.0 22.0 52.0 57.0 2006.0 744.0 754.0 508.0
40 122.0 26.0 42.0 54.0 1954.0 698.0 734.0 522.0
41 116.0 31.0 33.0 52.0 1714.0 705.0 565.0 444.0
42 85.0 25.0 19.0 41.0 1680.0 723.0 542.0 415.0
43 82.0 22.0 12.0 48.0 1795.0 767.0 544.0 484.0
44 62.0 15.0 15.0 32.0 1624.0 654.0 469.0 501.0
45 70.0 9.0 21.0 40.0 1575.0 668.0 444.0 463.0
46 48.0 16.0 9.0 23.0 1564.0 606.0 510.0 448.0
47 36.0 11.0 10.0 15.0 1633.0 547.0 557.0 529.0
48 39.0 9.0 6.0 24.0 1515.0 525.0 496.0 494.0
49 42.0 5.0 5.0 32.0 1439.0 561.0 441.0 437.0
50 45.0 13.0 9.0 23.0 1465.0 632.0 378.0 455.0
51 46.0 16.0 4.0 26.0 1288.0 616.0 342.0 330.0
52 42.0 7.0 10.0 25.0 1240.0 577.0 349.0 314.0
53 12.0 4.0 2.0 6.0 1238.0 554.0 328.0 356.0
54 18.0 1.0 6.0 11.0 1324.0 587.0 335.0 402.0
55 9.0 1.0 3.0 5.0 1634.0 604.0 469.0 561.0
56 11.0 3.0 1.0 7.0 1616.0 670.0 475.0 471.0
57 9.0 0.0 0.0 9.0 1433.0 680.0 394.0 359.0
58 6.0 0.0 3.0 3.0 1387.0 674.0 319.0 394.0
59 5.0 1.0 1.0 3.0 1213.0 591.0 316.0 306.0
60 5.0 0.0 0.0 5.0 1200.0 601.0 319.0 280.0
61 5.0 0.0 1.0 4.0 1259.0 598.0 322.0 339.0
62 3.0 1.0 0.0 2.0 1257.0 531.0 327.0 399.0
63 8.0 1.0 0.0 7.0 1316.0 649.0 294.0 373.0
64 3.0 0.0 1.0 2.0 1222.0 585.0 250.0 387.0
65 4.0 1.0 0.0 3.0 1112.0 465.0 204.0 443.0
66 2.0 0.0 0.0 2.0 1078.0 426.0 203.0 449.0
67 4.0 0.0 0.0 4.0 977.0 378.0 192.0 407.0
68 2.0 0.0 0.0 2.0 826.0 313.0 195.0 318.0
69 0.0 0.0 0.0 0.0 893.0 330.0 169.0 394.0
70 1.0 0.0 0.0 1.0 1010.0 310.0 177.0 523.0
71 3.0 0.0 0.0 3.0 968.0 310.0 208.0 450.0
72 0.0 0.0 0.0 0.0 937.0 293.0 205.0 439.0
73 1.0 0.0 0.0 1.0 928.0 286.0 200.0 442.0
74 1.0 1.0 0.0 0.0 863.0 232.0 161.0 470.0
75 0.0 0.0 0.0 0.0 783.0 251.0 150.0 382.0
76 1.0 0.0 0.0 1.0 782.0 240.0 131.0 411.0
77 2.0 2.0 0.0 0.0 746.0 218.0 132.0 396.0
78 0.0 0.0 0.0 0.0 764.0 202.0 115.0 447.0
79 1.0 1.0 0.0 0.0 700.0 180.0 110.0 410.0
80 3.0 3.0 0.0 0.0 721.0 219.0 88.0 414.0
81 1.0 1.0 0.0 0.0 734.0 212.0 88.0 434.0
82 0.0 0.0 0.0 0.0 734.0 186.0 105.0 443.0
83 0.0 0.0 0.0 0.0 711.0 213.0 112.0 386.0
84 0.0 0.0 0.0 0.0 681.0 214.0 121.0 346.0
85 0.0 0.0 0.0 0.0 637.0 217.0 140.0 280.0
86 0.0 0.0 0.0 0.0 666.0 227.0 158.0 281.0
87 0.0 0.0 0.0 0.0 687.0 256.0 157.0 274.0
88 0.0 0.0 0.0 0.0 631.0 254.0 148.0 229.0
89 0.0 0.0 0.0 0.0 631.0 232.0 188.0 211.0
90 0.0 0.0 0.0 0.0 626.0 213.0 240.0 173.0
91 0.0 0.0 0.0 0.0 665.0 197.0 266.0 202.0
92 0.0 0.0 0.0 0.0 590.0 168.0 249.0 173.0
93 0.0 0.0 0.0 0.0 565.0 145.0 208.0 212.0
94 0.0 0.0 0.0 0.0 583.0 153.0 197.0 233.0
95 0.0 0.0 0.0 0.0 622.0 157.0 191.0 274.0
96 0.0 0.0 0.0 0.0 614.0 185.0 196.0 233.0
97 0.0 0.0 0.0 0.0 634.0 208.0 226.0 200.0
98 0.0 0.0 0.0 0.0 646.0 207.0 215.0 224.0
99 0.0 0.0 0.0 0.0 658.0 259.0 202.0 197.0
100 0.0 0.0 0.0 0.0 694.0 231.0 232.0 231.0
101 0.0 0.0 0.0 0.0 618.0 219.0 202.0 197.0
102 0.0 0.0 0.0 0.0 596.0 214.0 195.0 187.0
103 0.0 0.0 0.0 0.0 674.0 253.0 200.0 221.0
104 0.0 0.0 0.0 0.0 682.0 253.0 207.0 222.0
105 0.0 0.0 0.0 0.0 735.0 273.0 193.0 269.0
106 0.0 0.0 0.0 0.0 728.0 289.0 203.0 236.0
107 0.0 0.0 0.0 0.0 697.0 310.0 179.0 208.0
108 0.0 0.0 0.0 0.0 733.0 275.0 182.0 276.0
109 0.0 0.0 0.0 0.0 783.0 264.0 172.0 347.0
110 0.0 0.0 0.0 0.0 804.0 269.0 182.0 353.0
111 0.0 0.0 0.0 0.0 767.0 319.0 190.0 258.0
112 0.0 0.0 0.0 0.0 786.0 381.0 188.0 217.0
113 0.0 0.0 0.0 0.0 654.0 319.0 197.0 138.0
114 0.0 0.0 0.0 0.0 598.0 349.0 158.0 91.0
115 0.0 0.0 0.0 0.0 578.0 331.0 148.0 99.0
116 0.0 0.0 0.0 0.0 585.0 321.0 164.0 100.0
117 0.0 0.0 0.0 0.0 593.0 317.0 158.0 118.0
118 0.0 0.0 0.0 0.0 575.0 309.0 149.0 117.0
119 0.0 0.0 0.0 0.0 601.0 326.0 158.0 117.0
120 0.0 0.0 0.0 0.0 702.0 358.0 185.0 159.0
121 0.0 0.0 0.0 0.0 620.0 343.0 162.0 115.0
122 0.0 0.0 0.0 0.0 601.0 368.0 143.0 90.0
123 0.0 0.0 0.0 0.0 690.0 457.0 155.0 78.0
124 0.0 0.0 0.0 0.0 683.0 469.0 152.0 62.0
125 0.0 0.0 0.0 0.0 674.0 451.0 153.0 70.0
126 0.0 0.0 0.0 0.0 793.0 547.0 172.0 74.0
127 0.0 0.0 0.0 0.0 822.0 558.0 216.0 48.0
128 0.0 0.0 0.0 0.0 818.0 560.0 203.0 55.0
129 0.0 0.0 0.0 0.0 757.0 543.0 173.0 41.0
130 0.0 0.0 0.0 0.0 917.0 652.0 180.0 85.0
131 0.0 0.0 0.0 0.0 884.0 684.0 146.0 54.0
132 0.0 0.0 0.0 0.0 758.0 604.0 104.0 50.0
133 0.0 0.0 0.0 0.0 646.0 505.0 85.0 56.0
134 0.0 0.0 0.0 0.0 605.0 448.0 60.0 97.0
135 0.0 0.0 0.0 0.0 574.0 383.0 79.0 112.0
136 0.0 0.0 0.0 0.0 506.0 337.0 57.0 112.0
137 0.0 0.0 0.0 0.0 460.0 294.0 76.0 90.0
138 0.0 0.0 0.0 0.0 466.0 259.0 108.0 99.0
139 0.0 0.0 0.0 0.0 449.0 273.0 108.0 68.0
140 0.0 0.0 0.0 0.0 483.0 263.0 124.0 96.0
141 0.0 0.0 0.0 0.0 350.0 222.0 82.0 46.0
142 0.0 0.0 0.0 0.0 375.0 197.0 96.0 82.0
143 0.0 0.0 0.0 0.0 330.0 187.0 97.0 46.0
144 0.0 0.0 0.0 0.0 390.0 186.0 120.0 84.0
145 0.0 0.0 0.0 0.0 376.0 223.0 68.0 85.0
146 0.0 0.0 0.0 0.0 411.0 263.0 70.0 78.0
147 0.0 0.0 0.0 0.0 370.0 225.0 76.0 69.0
148 0.0 0.0 0.0 0.0 310.0 168.0 94.0 48.0
149 0.0 0.0 0.0 0.0 377.0 155.0 152.0 70.0
150 0.0 0.0 0.0 0.0 441.0 185.0 191.0 65.0
151 0.0 0.0 0.0 0.0 484.0 209.0 210.0 65.0
152 0.0 0.0 0.0 0.0 460.0 219.0 183.0 58.0
153 0.0 0.0 0.0 0.0 459.0 216.0 183.0 60.0
154 0.0 0.0 0.0 0.0 455.0 182.0 209.0 64.0
155 0.0 0.0 0.0 0.0 462.0 186.0 167.0 109.0
156 0.0 0.0 0.0 0.0 504.0 177.0 198.0 129.0
157 0.0 0.0 0.0 0.0 503.0 184.0 205.0 114.0
158 0.0 0.0 0.0 0.0 478.0 170.0 199.0 109.0
159 0.0 0.0 0.0 0.0 428.0 135.0 186.0 107.0
