sampleid	group	main_type	sub_type	filename	time_in_h	T_in_K	nablaT_in_K_per_m
1	BLOCK	DF	dc	D0001091_SEG_ADTHRESHOLD_SCALED2	0	253.16	50
2	BLOCK	RG	xf	D0001095_SEG_ADTHRESHOLD_SCALED2	168	253.16	50
3	BLOCK	RG	xf	D0001112_SEG_ADTHRESHOLD_SCALED2	336	253.16	50
4	BLOCK	DH	cp	D0001129_SEG_ADTHRESHOLD_SCALED2	672	253.16	50
5	BLOCK	DH	cp	D0001175_SEG_ADTHRESHOLD_SCALED2	1008	253.16	50
6	BLOCK	DH	cp	D0001177_SEG_ADTHRESHOLD_SCALED2	2100	253.16	50
7	SIEVED	DF	bk	D0001090_SEG_ADTHRESHOLD_SCALED2	0	253.16	50
8	SIEVED	RG	wp	D0001096_SEG_ADTHRESHOLD_SCALED2	168	253.16	50
9	SIEVED	RG	xf	D0001131_SEG_ADTHRESHOLD_SCALED2	672	253.16	50
10	SIEVED	FC	so	D0001143_SEG_ADTHRESHOLD_SCALED2	1008	253.16	50
11	SIEVED	DH	cp	D0001176_SEG_ADTHRESHOLD_SCALED2	1932	253.16	50
12	ISL1	DF	dc	C0002070_SEG_SCALED	0	270.16	0
13	ISL1	RG	sr	C0002120_SEG_SCALED	336	270.16	0
14	ISL1	RG	sr	C0002188_SEG_SCALED	840	270.16	0
15	ISL1	RG	sr	C0002230_SEG_SCALED	1176	270.16	0
16	ISL1	RG	sr	C0002311_SEG_SCALED	1680	270.16	0
17	ISL1	RG	sr	C0002444_SEG_SCALED	2688	270.16	0
18	ISL1	RG	lr	C0002618_SEG_SCALED	5208	270.16	0
19	ISL1	RG	lr	C0002735_SEG_SCALED	7392	270.16	0
20	ISL1	RG	lr	C0002742_SEG_SCALED	7896	270.16	0
21	ISL5	DF	dc	C0002081_SEG_SCALED	0	255.16	0
22	ISL5	RG	sr	C0002127_SEG_SCALED	336	255.16	0
23	ISL5	RG	sr	C0002194_SEG_SCALED	840	255.16	0
24	ISL5	RG	sr	C0002236_SEG_SCALED	1176	255.16	0
25	ISL5	RG	sr	C0002317_SEG_SCALED	1680	255.16	0
26	ISL5	RG	sr	C0002459_SEG_SCALED	2688	255.16	0
27	ISL5	RG	sr	C0002622_SEG_SCALED	5208	255.16	0
28	ISL5	RG	sr	C0002738_SEG_SCALED	7392	255.16	0
29	ISL5	RG	sr	C0002744_SEG_SCALED	7896	255.16	0
30	TGM2	DF	dc	2164	0	263.16	100
31	TGM2	DF	dc	2165	2.496	263.16	100
32	TGM2	DF	dc	2166	8.496	263.16	100
33	TGM2	DF	dc	2167	14.496	263.16	100
34	TGM2	RG	sr	2168	20.496	263.16	100
35	TGM2	RG	sr	2169	26.496	263.16	100
36	TGM2	RG	sr	2170	32.496	263.16	100
37	TGM2	RG	sr	2171	38.496	263.16	100
38	TGM2	RG	xf	2172	44.496	263.16	100
39	TGM2	RG	xf	2173	50.496	263.16	100
40	TGM2	RG	xf	2174	56.496	263.16	100
41	TGM2	RG	xf	2175	62.496	263.16	100
42	TGM2	FC	so	2176	68.496	263.16	100
43	TGM2	FC	so	2177	74.496	263.16	100
44	TGM2	FC	so	2178	80.496	263.16	100
45	TGM2	FC	so	2179	86.496	263.16	100
46	TGM2	FC	so	2180	92.496	263.16	100
47	TGM2	FC	so	2181	112.2	263.16	100
48	TGM2	DH	cp	2182	116.496	263.16	100
49	TGM2	DH	cp	2183	122.496	263.16	100
50	TGM2	DH	cp	2184	128.496	263.16	100
51	TGM2	DH	cp	2185	134.496	263.16	100
52	TGM2	DH	cp	2186	140.496	263.16	100
53	TGM2	DH	cp	2187	146.496	263.16	100
54	TGM2	DH	cp	2188	152.496	263.16	100
55	TGM2	DH	cp	2189	158.496	263.16	100
56	TGM2	DH	cp	2190	164.496	263.16	100
57	TGM2	DH	cp	2191	170.496	263.16	100
58	TGM2	DH	cp	2192	176.496	263.16	100
59	TGM2	DH	cp	2193	182.496	263.16	100
60	TGM2	DH	cp	2194	188.496	263.16	100
61	TGM2	DH	cp	2195	194.496	263.16	100
62	TGM2	DH	cp	2196	200.496	263.16	100
63	TGM2	DH	cp	2197	206.496	263.16	100
64	TGM2	DH	cp	2198	212.496	263.16	100
65	TGM2	DH	cp	2199	218.496	263.16	100
66	TGM2	DH	cp	2200	224.496	263.16	100
67	TGM2	DH	cp	2201	230.496	263.16	100
68	TGM2	DH	cp	2202	236.496	263.16	100
69	TGM2	DH	cp	2203	242.496	263.16	100
70	TGM2	DH	cp	2204	248.496	263.16	100
71	TGM2	DH	cp	2205	254.496	263.16	100
72	TGM2	DH	cp	2206	260.496	263.16	100
73	TGM2	DH	cp	2207	266.496	263.16	100
74	TGM2	DH	cp	2208	272.496	263.16	100
75	TGM2	DH	cp	2209	278.496	263.16	100
76	TGM2	DH	cp	2210	284.496	263.16	100
77	MMT017	RG	sr	576_seg3	0	265.16	50
78	MMT017	RG	sr	578_seg3	7.999992	265.16	50
79	MMT017	RG	sr	580_seg3	16.000008	265.16	50
80	MMT017	RG	sr	582_seg3	24	265.16	50
81	MMT017	RG	sr	584_seg3	31.999992	265.16	50
82	MMT017	RG	sr	586_seg3	40.000008	265.16	50
83	MMT017	RG	sr	588_seg3	48	265.16	50
84	MMT017	RG	xf	590_seg3	55.999992	265.16	50
85	MMT017	RG	xf	592_seg3	64.000008	265.16	50
86	MMT017	FC	xr	594_seg3	72	265.16	50
87	MMT017	FC	xr	596_seg3	79.999992	265.16	50
88	MMT017	FC	xr	598_seg3	88.000008	265.16	50
89	MMT017	FC	xr	600_seg3	96	265.16	50
90	MMT017	FC	so	602_seg3	103.999992	265.16	50
91	MMT017	FC	so	604_seg3	112.000008	265.16	50
92	MMT017	FC	so	606_seg3	120	265.16	50
93	MMT017	FC	so	608_seg3	127.999992	265.16	50
94	MMT017	FC	so	610_seg3	136.000008	265.16	50
95	MMT017	FC	so	612_seg3	144	265.16	50
96	MMT017	FC	so	614_seg3	151.999992	265.16	50
97	MMT017	FC	so	616_seg3	160.099992	265.16	50
98	MMT017	FC	so	618_seg3	168.15	265.16	50
99	MMT017	FC	so	620_seg3	175.999992	265.16	50
100	MMT017	FC	so	622_seg3	184.000008	265.16	50
101	MMT017	FC	so	624_seg3	192	265.16	50
102	MMT017	FC	so	626_seg3	199.999992	265.16	50
103	MMT017	FC	so	628_seg3	208.000008	265.16	50
104	MMT017	FC	so	630_seg3	216	265.16	50
105	MMT017	FC	so	632_seg3	223.999992	265.16	50
106	MMT017	DH	cp	634_seg3	232.000008	265.16	50
107	MMT017	DH	cp	636_seg3	240.100008	265.16	50
108	MMT017	DH	cp	638_seg3	247.999992	265.16	50
109	MMT017	DH	cp	640_seg3	256.000008	265.16	50
110	MMT017	DH	cp	642_seg3	264.033336	265.16	50
111	MMT017	DH	cp	644_seg3	271.999992	265.16	50
112	MMT017	DH	cp	646_seg3	280.000008	265.16	50
113	MMT017	DH	cp	648_seg3	288	265.16	50
114	MMT017	DH	cp	650_seg3	295.999992	265.16	50
115	MMT017	DH	cp	652_seg3	304.000008	265.16	50
116	MMT017	DH	cp	654_seg3	312	265.16	50
117	MMT017	DH	cp	656_seg3	319.999992	265.16	50
118	MMT017	DH	cp	658_seg3	328.000008	265.16	50
119	MMT017	DH	cp	660_seg3	336	265.16	50
120	MMT017	DH	cp	662_seg3	343.999992	265.16	50
121	MMT017	DH	cp	664_seg3	352.000008	265.16	50
122	MMT017	DH	cp	666_seg3	360	265.16	50
123	MMT017	DH	cp	668_seg3	367.999992	265.16	50
124	MMT017	DH	cp	670_seg3	376.000008	265.16	50
125	MMT017	DH	cp	672_seg3	384	265.16	50
126	DIV	RG	sr	c0002953_seg_adthreshold_scaledsub	-9999	-9999	-9999
127	DIV	MF	cl	c0002957_seg_adthreshold_scaledsub	-9999	-9999	-9999
128	DIV	MF	cl	c0002961_seg_adthreshold_scaledsub	-9999	-9999	-9999
129	DIV	RG	sr	c0002964_seg_adthreshold_scaledsub	-9999	-9999	-9999
130	DIV	RG	sr	c0002970_seg_adthreshold_scaledsub	-9999	-9999	-9999
131	DIV	RG	sr	c0002973_seg_adthreshold_scaledsub	-9999	-9999	-9999
132	DIV	RG	sr	c0002978_seg_adthreshold_scaledsub	-9999	-9999	-9999
